dataset = celebA
experiments = /home/uzahid/workspace/QDCGAN/PyTorch/experiments
dry_run = False
log_freq = 50
export = False
resume = None
evaluate = False
fid = False
gpus = [0]
num_workers = 4
batch_size = 128
lr = 0.0002
scheduler = FIXED
epochs = 100
random_seed = None
examples = 1
size = 32
gen_ch = 64
weight_bitwidth = 32
activation_bitwidth = 32
io_bitwidth = 8
Image generated at /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/random_results/epoch_I8W32A32.png
Saving checkpoint model to /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/checkpoints/checkpoint_I8W32A32.tar
Epoch: [4/100[1/1582]	Discriminator Loss -24.0573 (-24.0573)	Generator Loss -1.2877 (-1.2877)	
Epoch: [4/100[51/1582]	Discriminator Loss -22.8752 (-23.4882)	Generator Loss 2.9762 (9.0021)	
Epoch: [4/100[101/1582]	Discriminator Loss -23.1508 (-23.4648)	Generator Loss 10.5930 (8.8007)	
Epoch: [4/100[151/1582]	Discriminator Loss -22.8556 (-23.2551)	Generator Loss 2.9042 (8.5983)	
Epoch: [4/100[201/1582]	Discriminator Loss -22.6449 (-23.2335)	Generator Loss 3.9362 (8.8646)	
Epoch: [4/100[251/1582]	Discriminator Loss -22.8532 (-23.1689)	Generator Loss 9.3871 (8.9048)	
Epoch: [4/100[301/1582]	Discriminator Loss -24.6745 (-23.1105)	Generator Loss 13.2856 (8.8647)	
Epoch: [4/100[351/1582]	Discriminator Loss -22.4771 (-23.1347)	Generator Loss 20.9392 (8.8584)	
Epoch: [4/100[401/1582]	Discriminator Loss -21.6411 (-23.1267)	Generator Loss 2.9439 (8.8434)	
Epoch: [4/100[451/1582]	Discriminator Loss -22.8309 (-23.0328)	Generator Loss 6.5132 (8.7390)	
Epoch: [4/100[501/1582]	Discriminator Loss -23.6188 (-23.0340)	Generator Loss 8.3782 (8.5529)	
Epoch: [4/100[551/1582]	Discriminator Loss -24.6154 (-23.0430)	Generator Loss 11.2928 (8.6037)	
Epoch: [4/100[601/1582]	Discriminator Loss -22.6421 (-22.9912)	Generator Loss 6.4349 (8.5012)	
Epoch: [4/100[651/1582]	Discriminator Loss -22.1321 (-22.9657)	Generator Loss 8.1265 (8.5764)	
Epoch: [4/100[701/1582]	Discriminator Loss -22.6827 (-22.9275)	Generator Loss 0.9712 (8.3552)	
Epoch: [4/100[751/1582]	Discriminator Loss -24.0611 (-22.9075)	Generator Loss -2.3780 (8.3498)	
Epoch: [4/100[801/1582]	Discriminator Loss -22.4420 (-22.8832)	Generator Loss 12.0974 (8.3558)	
Epoch: [4/100[851/1582]	Discriminator Loss -22.9531 (-22.8419)	Generator Loss 4.0500 (8.3259)	
Epoch: [4/100[901/1582]	Discriminator Loss -23.9220 (-22.8440)	Generator Loss 15.7516 (8.3377)	
Epoch: [4/100[951/1582]	Discriminator Loss -22.9423 (-22.8155)	Generator Loss 14.2493 (8.2351)	
Epoch: [4/100[1001/1582]	Discriminator Loss -22.4179 (-22.7773)	Generator Loss 6.3690 (8.2130)	
Epoch: [4/100[1051/1582]	Discriminator Loss -22.2047 (-22.7572)	Generator Loss 6.2828 (8.1903)	
Epoch: [4/100[1101/1582]	Discriminator Loss -22.5048 (-22.7410)	Generator Loss 13.3345 (8.1961)	
Epoch: [4/100[1151/1582]	Discriminator Loss -19.7334 (-22.7182)	Generator Loss 3.2562 (8.1176)	
Epoch: [4/100[1201/1582]	Discriminator Loss -23.1540 (-22.7142)	Generator Loss 6.9084 (8.1665)	
Epoch: [4/100[1251/1582]	Discriminator Loss -23.6875 (-22.6945)	Generator Loss 10.7680 (8.1591)	
Epoch: [4/100[1301/1582]	Discriminator Loss -22.6392 (-22.6605)	Generator Loss 10.5960 (8.1289)	
Epoch: [4/100[1351/1582]	Discriminator Loss -20.2696 (-22.6459)	Generator Loss 5.5065 (8.1323)	
Epoch: [4/100[1401/1582]	Discriminator Loss -21.3753 (-22.6113)	Generator Loss 11.0617 (8.1431)	
Epoch: [4/100[1451/1582]	Discriminator Loss -20.3878 (-22.5746)	Generator Loss 15.3963 (8.1214)	
Epoch: [4/100[1501/1582]	Discriminator Loss -22.3906 (-22.5655)	Generator Loss 6.7787 (8.0928)	
Epoch: [4/100[1551/1582]	Discriminator Loss -21.5282 (-22.5231)	Generator Loss 1.4348 (8.0807)	
Epoch: [4/100[1582/1582]	Discriminator Loss -19.2019 (-22.5247)	Generator Loss 14.1073 (8.0991)	
FPS: 11407.484769364664
Image generated at /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/random_results/epoch_I8W32A32.png
Saving checkpoint model to /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/checkpoints/checkpoint_I8W32A32.tar
Epoch: [5/100[1/1582]	Discriminator Loss -17.0535 (-17.0535)	Generator Loss 10.7568 (10.7568)	
Epoch: [5/100[51/1582]	Discriminator Loss -21.3755 (-21.4380)	Generator Loss 4.3601 (7.1411)	
Epoch: [5/100[101/1582]	Discriminator Loss -19.1622 (-21.2114)	Generator Loss 4.7661 (7.9545)	
Epoch: [5/100[151/1582]	Discriminator Loss -20.7655 (-21.2879)	Generator Loss 3.1182 (7.6279)	
Epoch: [5/100[201/1582]	Discriminator Loss -22.1466 (-21.2737)	Generator Loss 11.7797 (7.9720)	
Epoch: [5/100[251/1582]	Discriminator Loss -21.4440 (-21.1598)	Generator Loss 11.9055 (7.7769)	
Epoch: [5/100[301/1582]	Discriminator Loss -20.8154 (-21.0829)	Generator Loss 1.3055 (7.4965)	
Epoch: [5/100[351/1582]	Discriminator Loss -21.1089 (-21.0045)	Generator Loss 14.2497 (7.3884)	
Epoch: [5/100[401/1582]	Discriminator Loss -23.0511 (-20.9706)	Generator Loss 0.6256 (7.5545)	
Epoch: [5/100[451/1582]	Discriminator Loss -20.0722 (-20.8898)	Generator Loss 14.5573 (7.5531)	
Epoch: [5/100[501/1582]	Discriminator Loss -18.1814 (-20.7657)	Generator Loss 14.9761 (7.6181)	
Epoch: [5/100[551/1582]	Discriminator Loss -18.6308 (-20.6797)	Generator Loss -6.7058 (7.4729)	
Epoch: [5/100[601/1582]	Discriminator Loss -19.0836 (-20.5955)	Generator Loss 5.0343 (7.3973)	
Epoch: [5/100[651/1582]	Discriminator Loss -21.2983 (-20.5824)	Generator Loss 1.9084 (7.3143)	
Epoch: [5/100[701/1582]	Discriminator Loss -18.2286 (-20.4676)	Generator Loss 15.8022 (7.2639)	
Epoch: [5/100[751/1582]	Discriminator Loss -17.1146 (-20.3625)	Generator Loss 2.9272 (7.2612)	
Epoch: [5/100[801/1582]	Discriminator Loss -19.4642 (-20.3016)	Generator Loss 10.2231 (7.2372)	
Epoch: [5/100[851/1582]	Discriminator Loss -19.5938 (-20.2278)	Generator Loss 9.7523 (7.1802)	
Epoch: [5/100[901/1582]	Discriminator Loss -18.9177 (-20.1828)	Generator Loss 9.3799 (7.2160)	
Epoch: [5/100[951/1582]	Discriminator Loss -17.8306 (-20.1225)	Generator Loss 3.2421 (7.0803)	
Epoch: [5/100[1001/1582]	Discriminator Loss -15.9734 (-20.0293)	Generator Loss 7.2918 (7.0681)	
Epoch: [5/100[1051/1582]	Discriminator Loss -18.5678 (-19.9508)	Generator Loss 4.9344 (6.9969)	
Epoch: [5/100[1101/1582]	Discriminator Loss -18.8848 (-19.9106)	Generator Loss 9.3622 (6.9560)	
Epoch: [5/100[1151/1582]	Discriminator Loss -17.3034 (-19.8384)	Generator Loss 9.0750 (6.9112)	
Epoch: [5/100[1201/1582]	Discriminator Loss -18.1315 (-19.7642)	Generator Loss 1.3182 (6.9426)	
